F,G,P
4.80839300000e02,1.00119509334e00,-1.51664577425e-02
4.87528500000e02,1.00121106254e00,-1.46600445732e-02
4.94310700000e02,1.00123380668e00,-1.44711472094e-02
5.01187200000e02,1.00120541169e00,-1.47170834243e-02
5.08159400000e02,1.00118749782e00,-1.52520239353e-02
5.15228600000e02,1.00119424038e00,-1.49237830192e-02
5.22396200000e02,1.00117715144e00,-1.61924473941e-02
5.29663400000e02,1.00118818138e00,-1.42539134249e-02
5.37031800000e02,1.00119901715e00,-1.63344908506e-02
5.44502700000e02,1.00120498725e00,-1.54866790399e-02
5.52077400000e02,1.00119511745e00,-1.48198213428e-02
5.59757600000e02,1.00120659446e00,-1.60345621407e-02
5.67544600000e02,1.00121482349e00,-1.72720141709e-02
5.75439900000e02,1.00120068979e00,-1.66017245501e-02
5.83445100000e02,1.00120598360e00,-1.65344588459e-02
5.91561600000e02,1.00122096506e00,-1.71930361539e-02
5.99791100000e02,1.00120562162e00,-1.68357267976e-02
6.08135000000e02,1.00121484298e00,-1.67989339679e-02
6.16595000000e02,1.00120278503e00,-1.80337373167e-02
6.25172700000e02,1.00122532244e00,-1.80506147444e-02
6.33869700000e02,1.00121102369e00,-1.75614804029e-02
6.42687700000e02,1.00122877466e00,-1.98747701943e-02
6.51628400000e02,1.00121331700e00,-1.92713681608e-02
6.60693400000e02,1.00125093919e00,-1.96131654084e-02
6.69884600000e02,1.00123136189e00,-1.83232612908e-02
6.79203600000e02,1.00125087914e00,-1.91825665534e-02
6.88652300000e02,1.00122455615e00,-1.86814405024e-02
6.98232400000e02,1.00123269503e00,-2.01665870845e-02
7.07945800000e02,1.00123700094e00,-1.91592741758e-02
7.17794300000e02,1.00124496594e00,-1.96789558977e-02
7.27779800000e02,1.00121307268e00,-1.97715032846e-02
7.37904200000e02,1.00122818624e00,-2.09579095244e-02
7.48169500000e02,1.00123098339e00,-2.03378144652e-02
7.58577600000e02,1.00123123471e00,-2.25753858685e-02
7.69130400000e02,1.00121096834e00,-2.05132178962e-02
7.79830100000e02,1.00124713900e00,-2.13416889310e-02
7.90678600000e02,1.00122714888e00,-2.26601958275e-02
8.01678100000e02,1.00122228372e00,-2.28496566415e-02
8.12830500000e02,1.00121522956e00,-2.27341633290e-02
8.24138100000e02,1.00122046681e00,-2.36384775490e-02
8.35603000000e02,1.00122331150e00,-2.28353403509e-02
8.47227400000e02,1.00120983765e00,-2.25372388959e-02
8.59013500000e02,1.00122142190e00,-2.37963926047e-02
8.70963600000e02,1.00122881466e00,-2.29455754161e-02
8.83079900000e02,1.00122509555e00,-2.38339733332e-02
8.95364800000e02,1.00122541899e00,-2.51097828150e-02
9.07820500000e02,1.00119493802e00,-2.31244415045e-02
9.20449600000e02,1.00122601303e00,-2.38945391029e-02
9.33254300000e02,1.00122760770e00,-2.52239629626e-02
9.46237200000e02,1.00122368481e00,-2.47606206685e-02
9.59400600000e02,1.00118129087e00,-2.53033302724e-02
9.72747200000e02,1.00119248542e00,-2.45706625283e-02
9.86279500000e02,1.00119142679e00,-2.63280831277e-02
1.00000000000e03,1.00118332865e00,-2.81975697726e-02
1.01391140000e03,1.00119055917e00,-2.55792737007e-02
1.02801630000e03,1.00119874153e00,-2.81380526721e-02
1.04231740000e03,1.00120309493e00,-2.69677024335e-02
1.05681750000e03,1.00119835130e00,-2.69559826702e-02
1.07151930000e03,1.00119258768e00,-2.79912669212e-02
1.08642560000e03,1.00119141615e00,-2.76526119560e-02
1.10153930000e03,1.00120736045e00,-2.71663200110e-02
1.11686320000e03,1.00119330391e00,-2.85171475261e-02
1.13240040000e03,1.00122735109e00,-2.88583207875e-02
1.14815360000e03,1.00120697794e00,-2.81426236033e-02
1.16412600000e03,1.00120377022e00,-2.87795905024e-02
1.18032060000e03,1.00122684042e00,-2.91516724974e-02
1.19674050000e03,1.00119307720e00,-2.87503506988e-02
1.21338890000e03,1.00122106950e00,-2.86575593054e-02
1.23026880000e03,1.00119915698e00,-3.01936138421e-02
1.24738350000e03,1.00122590524e00,-2.84483488649e-02
1.26473630000e03,1.00120410353e00,-2.96585429460e-02
1.28233060000e03,1.00121675525e00,-2.97110658139e-02
1.30016960000e03,1.00122870921e00,-3.04764639586e-02
1.31825670000e03,1.00125334896e00,-2.93379183859e-02
1.33659550000e03,1.00124089236e00,-2.97812074423e-02
1.35518940000e03,1.00128874128e00,-2.91690677404e-02
1.37404200000e03,1.00128803128e00,-2.85376198590e-02
1.39315680000e03,1.00127550464e00,-3.01175247878e-02
1.41253750000e03,1.00128498794e00,-3.02776079625e-02
1.43218790000e03,1.00127368410e00,-3.20803821087e-02
1.45211160000e03,1.00130619643e00,-3.25750745833e-02
1.47231250000e03,1.00129765656e00,-3.03679835051e-02
1.49279440000e03,1.00133501169e00,-3.13814394176e-02
1.51356120000e03,1.00133687508e00,-3.14548574388e-02
1.53461700000e03,1.00134063654e00,-3.01005542278e-02
1.55596560000e03,1.00134597890e00,-3.13823446631e-02
1.57761130000e03,1.00134859760e00,-3.27326692641e-02
1.59955800000e03,1.00134521181e00,-3.15734110773e-02
1.62181010000e03,1.00138011250e00,-3.30660603940e-02
1.64437170000e03,1.00138747472e00,-3.25989015400e-02
1.66724720000e03,1.00137470711e00,-3.26289311051e-02
1.69044090000e03,1.00139736005e00,-3.28594408929e-02
1.71395730000e03,1.00141320497e00,-3.15506011248e-02
1.73780080000e03,1.00143013358e00,-3.30624170601e-02
1.76197600000e03,1.00144498923e00,-3.19598354399e-02
1.78648760000e03,1.00144965814e00,-3.13031859696e-02
1.81134010000e03,1.00146857565e00,-3.22333611548e-02
1.83653830000e03,1.00147882412e00,-3.24644185603e-02
1.86208710000e03,1.00149417659e00,-3.28569971025e-02
1.88799130000e03,1.00149768314e00,-3.47526073456e-02
