F,G,P
1.54170000000e01,1.00124412107e00,-2.82492372207e-03
1.56315000000e01,1.00125270738e00,-2.66962568276e-03
1.58489000000e01,1.00123722090e00,-4.22101095319e-03
1.60694000000e01,1.00122076690e00,-3.98117769510e-03
1.62930000000e01,1.00124303391e00,-3.63063160330e-03
1.65196000000e01,1.00124288401e00,-4.59803268313e-03
1.67494000000e01,1.00122327264e00,-3.55849065818e-03
1.69824000000e01,1.00124624712e00,-2.73502361961e-03
1.72187000000e01,1.00124740186e00,-3.30076413229e-03
1.74582000000e01,1.00123799834e00,-2.77026835829e-03
1.77011000000e01,1.00123053274e00,-4.38961805776e-03
1.79473000000e01,1.00124904188e00,-2.95520969667e-03
1.81970000000e01,1.00124815932e00,-1.42038404010e-03
1.84502000000e01,1.00120020153e00,-4.92786709219e-03
1.87068000000e01,1.00126330985e00,-4.03570476919e-03
1.89671000000e01,1.00120393376e00,-3.91215132549e-03
1.92309000000e01,1.00120355619e00,-3.88120720163e-03
1.94984000000e01,1.00123830841e00,-3.28396912664e-03
1.97697000000e01,1.00126433807e00,-3.43594234437e-03
2.00447000000e01,1.00121040304e00,-4.05880482867e-03
2.03236000000e01,1.00124802631e00,-5.38069568574e-03
2.06063000000e01,1.00125767075e00,-2.70779267885e-03
2.08930000000e01,1.00123606656e00,-1.19018566329e-03
2.11836000000e01,1.00124559745e00,-2.82057747245e-03
2.14783000000e01,1.00124798375e00,-3.84239712730e-03
2.17771000000e01,1.00124430855e00,-5.87569549680e-03
2.20800000000e01,1.00126377747e00,-3.75704839826e-03
2.23872000000e01,1.00120679394e00,-4.04526852071e-03
2.26986000000e01,1.00125108676e00,-3.56802856550e-03
2.30144000000e01,1.00126442376e00,-2.75749224238e-03
2.33346000000e01,1.00123554192e00,-3.40127246454e-03
2.36592000000e01,1.00125955788e00,-3.28939931933e-04
2.39883000000e01,1.00119672671e00,-3.23345582001e-03
2.43220000000e01,1.00123987965e00,-5.17888739705e-03
2.46604000000e01,1.00124995456e00,-2.18904810026e-03
2.50035000000e01,1.00126164740e00,-4.45226579905e-03
2.53513000000e01,1.00126988176e00,-6.14676997066e-03
2.57040000000e01,1.00123331311e00,-5.39654958993e-03
2.60615000000e01,1.00128094699e00,-4.54436009750e-03
2.64241000000e01,1.00123434435e00,-2.21104593948e-03
2.67917000000e01,1.00122853034e00,-4.70536854118e-03
2.71644000000e01,1.00125574951e00,-3.35011072457e-03
2.75423000000e01,1.00127422037e00,-4.19541820884e-03
2.79254000000e01,1.00122170234e00,-4.37506660819e-03
2.83139000000e01,1.00126810445e00,-4.03832225129e-03
2.87078000000e01,1.00122958295e00,-2.40877177566e-03
2.91072000000e01,1.00123773611e00,-2.58370116353e-03
2.95121000000e01,1.00125601869e00,-4.25677653402e-03
2.99226000000e01,1.00123867925e00,-5.25796692818e-03
3.03389000000e01,1.00124580755e00,-2.42925598286e-03
3.07610000000e01,1.00122006344e00,-9.08207148314e-04
3.11889000000e01,1.00122498115e00,-3.40628111735e-03
3.16228000000e01,1.00123869180e00,-1.38389796484e-03
3.20627000000e01,1.00123304059e00,-2.52335448749e-03
3.25087000000e01,1.00124248166e00,-3.59511538409e-03
3.29610000000e01,1.00121795168e00,-3.26879485510e-03
3.34195000000e01,1.00123528675e00,-2.43397639133e-03
3.38844000000e01,1.00122378149e00,-3.69377457537e-03
3.43558000000e01,1.00129314170e00,-6.13557174802e-04
3.48337000000e01,1.00124252402e00,1.02711957879e-03
3.53183000000e01,1.00121770167e00,-3.35426698439e-03
3.58096000000e01,1.00124185955e00,-1.86095724348e-03
3.63078000000e01,1.00122114632e00,-2.74488818832e-04
3.68129000000e01,1.00126032456e00,-5.40319643915e-03
3.73250000000e01,1.00124860283e00,-2.25205649622e-03
3.78443000000e01,1.00122915214e00,-3.76570434310e-03
3.83707000000e01,1.00124145157e00,-1.51862937491e-03
3.89045000000e01,1.00123149973e00,-9.56467774813e-05
3.94457000000e01,1.00120939952e00,-4.46505658329e-03
3.99945000000e01,1.00126413280e00,-4.25578746945e-03
4.05509000000e01,1.00125023311e00,-2.40568094887e-03
4.11150000000e01,1.00123741672e00,-1.36978656519e-03
4.16869000000e01,1.00124224790e00,-1.50869123172e-03
4.22669000000e01,1.00122142957e00,-2.01278971508e-03
4.28549000000e01,1.00125581568e00,-3.28856403939e-03
4.34510000000e01,1.00123740697e00,-3.89216560870e-03
4.40555000000e01,1.00125862275e00,-3.38903674856e-03
4.46684000000e01,1.00123652265e00,-1.78729475010e-03
4.52898000000e01,1.00125132498e00,-1.73380388878e-03
4.59198000000e01,1.00122633043e00,-3.37940314785e-03
4.65586000000e01,1.00124462263e00,-2.99776974134e-03
4.72063000000e01,1.00123037704e00,-2.85141216591e-03
4.78630000000e01,1.00121857737e00,-2.87786335684e-03
4.85289000000e01,1.00120167552e00,-2.69287684932e-03
4.92040000000e01,1.00123201050e00,-3.59006971121e-03
4.98884000000e01,1.00123581224e00,-2.96725612134e-03
5.05825000000e01,1.00121373057e00,-3.63946938887e-03
5.12861000000e01,1.00125766014e00,-3.42716462910e-03
5.19996000000e01,1.00120922751e00,-3.72285838239e-03
5.27230000000e01,1.00123503323e00,-3.88075388037e-03
5.34564000000e01,1.00127578439e00,-2.70744925365e-03
5.42001000000e01,1.00125886277e00,-2.38890782930e-03
5.49541000000e01,1.00124041247e00,-3.40482871979e-03
5.57186000000e01,1.00124709848e00,-3.93734779209e-03
5.64937000000e01,1.00123036381e00,-4.05093329027e-03
5.72796000000e01,1.00121437588e00,-3.00449086353e-03
5.80764000000e01,1.00124030053e00,-3.96209815517e-03
5.88844000000e01,1.00122217377e00,-3.29573987983e-03
5.97035000000e01,1.00126180578e00,-2.29886942543e-03
6.05341000000e01,1.00119518015e00,-3.53964278474e-03
6.13762000000e01,1.00127532669e00,-1.40679336619e-03
6.22300000000e01,1.00123257708e00,-2.04383232631e-03
6.30957000000e01,1.00124421525e00,-3.25623853132e-03
6.39735000000e01,1.00122709093e00,-2.22563580610e-03
6.48634000000e01,1.00125770764e00,-2.93993996456e-03
6.57658000000e01,1.00124399870e00,-1.90664851107e-03
6.66807000000e01,1.00124485249e00,-2.63727921993e-03
6.76083000000e01,1.00126412765e00,-1.97420478798e-03
6.85488000000e01,1.00124643696e00,-1.86925288290e-03
6.95024000000e01,1.00127971268e00,-3.52387526073e-03
7.04693000000e01,1.00126995726e00,-4.08888049424e-03
7.14496000000e01,1.00125811460e00,-5.88020018768e-04
7.24436000000e01,1.00127733166e00,-3.54676274583e-03
7.34514000000e01,1.00125059823e00,-2.21619708464e-03
